,time,ax,ay,az,Latitude,Longitude,Speed (m/s)
0,0.077349,0.0,0.0,0.0,55.75340875,48.73978323,0.0
1,0.091387,0.0,0.0,0.0,55.75340875,48.73978323,0.0
2,0.12056,0.0,0.0,0.0,55.75340875,48.73978323,0.0
3,0.134126,0.0,0.0,0.0,55.75340875,48.73978323,0.0
4,0.135304,0.0,0.0,0.0,55.75340875,48.73978323,0.0
5,0.144837,0.0,0.0,0.0,55.75340875,48.73978323,0.0
6,0.146057,0.0,0.0,0.0,55.75340875,48.73978323,0.0
7,0.168701,0.0,0.0,0.0,55.75340875,48.73978323,0.0
8,0.170086,0.0,0.0,0.0,55.75340875,48.73978323,0.0
9,0.177473,0.0,0.0,0.0,55.75340875,48.73978323,0.0
10,0.204472,0.0,0.0,0.0,55.75340875,48.73978323,0.0
11,0.205949,0.0,0.0,0.0,55.75340875,48.73978323,0.0
12,0.21271,0.0,0.0,0.0,55.75340875,48.73978323,0.0
13,0.224539,0.0,0.0,0.0,55.75340875,48.73978323,0.0
14,0.225763,0.0,0.0,0.0,55.75340875,48.73978323,0.0
15,0.228946,0.0,0.0,0.0,55.75340875,48.73978323,0.0
16,0.244874,0.0,0.0,0.0,55.75340875,48.73978323,0.0
17,0.265225,0.0,0.0,0.0,55.75340875,48.73978323,0.0
18,0.266749,0.0,0.0,0.0,55.75340875,48.73978323,0.0
19,0.27995,0.0,0.0,0.0,55.75340875,48.73978323,0.0
20,0.281263,0.0,0.0,0.0,55.75340875,48.73978323,0.0
21,0.289179,0.0,0.0,0.0,55.75340875,48.73978323,0.0
22,0.294949,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
23,0.296196,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
24,0.310408,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
25,0.335152,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
26,0.336807,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
27,0.346492,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
28,0.365423,0.0795,-0.0769,0.0266,55.75340875,48.73978323,0.0
29,0.366965,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
30,0.368161,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
31,0.369208,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
32,0.377294,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
33,0.398395,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
34,0.399831,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
35,0.412627,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
36,0.42561,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
37,0.426974,0.0911,-0.0691,-0.0517,55.75340875,48.73978323,0.0
38,0.428037,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
39,0.429042,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
40,0.4441,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
41,0.479752,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
42,0.481532,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
43,0.482598,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
44,0.483855,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
45,0.488464,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
46,0.495332,0.1429,-0.1098,-0.0214,55.75340875,48.73978323,0.0
47,0.496202,0.1706,-0.1164,0.0476,55.75340875,48.73978323,0.0
48,0.497047,0.1706,-0.1164,0.0476,55.75340875,48.73978323,0.0
49,0.514317,0.1706,-0.1164,0.0476,55.75340875,48.73978323,0.0
50,0.546334,0.1706,-0.1164,0.0476,55.75341119,48.73978717,0.0
51,0.54791,0.1706,-0.1164,0.0476,55.75341119,48.73978717,0.0
52,0.548817,0.1706,-0.1164,0.0476,55.75341119,48.73978717,0.0
53,0.565963,0.1706,-0.1164,0.0476,55.75341119,48.73978717,0.0
54,0.567343,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
55,0.568417,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
56,0.569392,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
57,0.577082,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
58,0.612123,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
59,0.614853,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
60,0.625358,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
61,0.628635,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
62,0.629806,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
63,0.643936,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
64,0.648797,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
65,0.649766,0.5083,0.063,0.0587,55.75341119,48.73978717,0.0
66,0.65057,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
67,0.67932,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
68,0.680611,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
69,0.688708,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
70,0.695845,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
71,0.696966,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
72,0.710446,0.3537,-0.3356,0.5008,55.75341119,48.73978717,0.0
73,0.716662,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
74,0.717852,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
75,0.718798,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
76,0.746408,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
77,0.766386,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
78,0.768678,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
79,0.769856,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
80,0.777051,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
81,0.78705,0.4464,-0.8979,1.0121,55.75341119,48.73978717,0.0
82,0.78848,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
83,0.789591,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
84,0.812279,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
85,0.828535,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
86,0.829801,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
87,0.8309,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
88,0.844246,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
89,0.847257,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
90,0.848555,-0.0673,-0.3517,0.7607,55.75341119,48.73978717,0.0
91,0.849434,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
92,0.880302,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
93,0.881578,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
94,0.88873,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
95,0.898793,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
96,0.900305,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
97,0.910387,0.9392,0.3048,0.0144,55.75341119,48.73978717,0.0
98,0.917825,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
99,0.921344,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
100,0.923282,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
101,0.945847,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
102,0.970397,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
103,0.977678,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
104,0.983476,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
105,0.987876,0.3393,-0.4496,-0.0814,55.75341119,48.73978717,0.0
106,0.99817,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
107,1.002458,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
108,1.005114,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
109,1.00729,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
110,1.029671,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
111,1.035143,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
112,1.051097,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
113,1.054783,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
114,1.058037,0.6372,-1.6052,-0.3943,55.75341119,48.73978717,0.0
115,1.069575,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
116,1.073015,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
117,1.07513,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
118,1.08249,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
119,1.089226,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
120,1.101865,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
121,1.110665,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
122,1.118726,0.6044,-1.3356,0.04,55.75341119,48.73978717,0.0
123,1.1398,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
124,1.142862,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
125,1.145294,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
126,1.147469,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
127,1.170087,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
128,1.173119,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
129,1.177441,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
130,1.191537,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
131,1.213641,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
132,1.217532,-0.859,-0.5599,0.4441,55.75341119,48.73978717,0.0
133,1.220472,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
134,1.223118,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
135,1.229757,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
136,1.232833,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
137,1.244601,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
138,1.248924,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
139,1.26979,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
140,1.273271,-0.4441,0.6533,-0.7062,55.75341119,48.73978717,0.0
141,1.275772,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
142,1.278196,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
143,1.280635,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
144,1.289822,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
145,1.300495,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
146,1.310745,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
147,1.324211,-0.9633,0.1928,-0.2528,55.75341119,48.73978717,0.0
148,1.340471,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
149,1.345985,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
150,1.349108,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
151,1.351389,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
152,1.36916,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
153,1.372089,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
154,1.377641,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
155,1.398687,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
156,1.401568,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
157,1.41211,-1.3645,-0.0518,0.191,55.75341119,48.73978717,0.0
158,1.416425,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
159,1.419103,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
160,1.434395,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
161,1.444674,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
162,1.447259,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
163,1.470381,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
164,1.475722,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
165,1.484751,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
166,1.4879,-1.349,-0.0339,-0.2011,55.75341119,48.73978717,0.0
167,1.490126,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
168,1.492484,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
169,1.494708,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
170,1.500166,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
171,1.510558,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
172,1.540243,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
173,1.542794,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
174,1.548224,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
175,1.568687,-1.1128,0.8803,0.0643,55.75341119,48.73978717,0.0
176,1.571781,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
177,1.574029,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
178,1.576396,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
179,1.578259,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
180,1.600169,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
181,1.603941,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
182,1.613474,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
183,1.629888,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
184,1.635183,-1.19,0.5938,0.089,55.75341119,48.73978717,0.0
185,1.638195,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
186,1.64139,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
187,1.649602,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
188,1.65621,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
189,1.682582,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
190,1.687298,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
191,1.689812,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
192,1.692914,-1.3703,0.8079,-0.2187,55.75341119,48.73978717,0.0
193,1.695988,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
194,1.699351,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
195,1.711081,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
196,1.74633,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
197,1.749075,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
198,1.751125,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
199,1.753694,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
200,1.761915,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
201,1.76409,-1.0579,0.4422,-0.2012,55.75341119,48.73978717,0.0
202,1.765389,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
203,1.768998,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
204,1.777113,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
205,1.81293,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
206,1.816761,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
207,1.819745,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
208,1.829571,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
209,1.833534,-0.9224,0.7168,-0.9614,55.75341119,48.73978717,0.0
210,1.83663,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
211,1.839114,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
212,1.845542,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
213,1.87955,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
214,1.882442,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
215,1.888761,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
216,1.891238,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
217,1.899277,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
218,1.912685,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
219,1.916206,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
220,1.918661,-0.833,0.6032,-0.3541,55.75341119,48.73978717,0.0
221,1.920556,-0.1913,0.531,-0.0102,55.75341119,48.73978717,0.0
222,1.946631,-0.1913,0.531,-0.0102,55.75341119,48.73978717,0.0
